"noun","n"
"덕질그룹이라고",1
"덕질을",1
"덕질하는거",1
"덮깐논쟁달리는데",1
"덮깐논쟁은",1
"덮나사랑해",1
"덮나에",1
"덮묘",1
"덮묘라고",1
"덮묘아닌가",1
"덮묘파였는데",1
"덮알못깐랑캐새기들",1
"덮와이스가",1
"덮와이스보는거",1
"데시벨",1
"데이트",1
"도우미",1
"도움점",1
"도착",1
"도쿄돔",1
"돈까스",1
"돌파",1
"돔공연은",1
"돕시",1
"동아오츠카",1
"동영상",1
"돼공",1
"돼꾸미형",1
"돼지국밥",1
"되자너",1
"된거",1
"된장",1
"된장찌개특",1
"된장찌게",1
"된찌",1
"됬네",1
"두가지",1
"두개",1
"두두",1
"두번째",1
"두부집하",1
"두부한모",1
"두손",1
"두장다똥망햇는디",1
"둔촌동",1
"둡갤갤벤한다",1
"둡갤에",1
"둡기사댓관은안하고",1
"둡브이땨",1
"둡시놓침",1
"둡이였누",1
"둡짤모음이",1
"둡탄절인데",1
"둡한테",1
"둡홀더",1
"뒤졌누",1
"뒷부분",1
"뒷북",1
"뒷펜스도",1
"든벌",1
"듣고싶노",1
"듣보라",1
"들아",1
"듬직",1
"디너쇼",1
"디너쇼때",1
"디스코드",1
"디시갤",1
"디씨웨이브",1
"디씨콘",1
"디엠",1
"디피알친구야",1
"따는거",1
"딱두개",1
"딱올러네",1
"때려치",1
"떡돌리",1
"떡밥굴리",1
"떡밥에못낌",1
"떡밥이",1
"또이겼누",1
"똑같은넘들",1
"똑똑하",1
"똥꼬",1
"똥싸면서",1
"똥쌀때",1
"똥줄탄",1
"뜰거",1
"띵단새끼가",1
"라부리폰케",1
"라이브",1
"라이키무대보러간다",1
"라커풀",1
"라커풀들으면",1
"랑해",1
"럭키야붕이엿노",1
"런닝맨",1
"레알마드리드",1
"레이저포인트",1
"련아",1
"로각좁",1
"로갓고닉이라는게",1
"로갓하고물어보는넘들은",1
"로또",1
"로또번호",1
"롹하는것같은",1
"리스트정리되어잇는넘인데",1
"리얼리티",1
"리중딱",1
"링삼은",1
"링삼이",1
"링삼이랑",1
"마냐로",1
"마누라",1
"마다",1
"마당발",1
"마라탕먹엇는데",1
"마리",1
"마음",1
"마이크소리",1
"마지막글이라능",1
"마지막링크",1
"막대사탕",1
"막창",1
"막콘날",1
"만수무강하길바랬는데",1
"만약",1
"만원나옴",1
"만큼",1
"많리",1
"말레이시아",1
"말많음",1
"말씀",1
"맛잇드라",1
"망갤되면",1
"망갤트",1
"망갤트하니까",1
"망했다하는데",1
"맞는걸로",1
"맞는말을해도",1
"맞음",1
"맞춰바라",1
"매력",1
"매일",1
"매진",1
"맴버들이",1
"머것눈뎅",1
"머리",1
"머리좋",1
"머릿",1
"머하는지",1
"머형빨다가",1
"먹떡굴리고",1
"멀쩡한거",1
"멀티계정판건지는",1
"멍청한",1
"메들리",1
"메시",1
"메시사진",1
"메시지",1
"멜론",1
"멜프가머임",1
"멤갤도",1
"멤바들",1
"멤버들",1
"멤버들이",1
"멤버시",1
"멤버시도",1
"멤버한명",1
"며칠내내",1
"면세구역",1
"멸공",1
"명됨",1
"명언",1
"명에서",1
"몇년",1
"몇명이뽑히누",1
"몇명있는지써있는",1
"몇백들어서",1
"몇번",1
"몇시쯤되야",1
"모갤러",1
"모고닉분",1
"모구링",1
"모구링머시기",1
"모르는넘들",1
"모르는사람이념글보면",1
"모지리주",1
"모집",1
"모집공지뜨는거",1
"모집해용",1
"모호",1
"목하자나",1
"몰카찍",1
"못돌리는데",1
"못막는다고봐야지",1
"못봄",1
"못봤는데",1
"못해먹겠더라",1
"묘이미나",1
"무대",1
"무대밑",1
"무슨맛으로먹냐",1
"문재인정부",1
"문제옴",1
"문학의밤",1
"문화충격",1
"뭉뜬",1
"뭐든조심히",1
"뭐이리많냐",1
"뭔가",1
"뭔가했네",1
"뭔디",1
"뭔맛으로먹냐",1
"뮤비",1
"뮤비공개기원운동",1
"뮤직뱅크",1
"미국콘",1
"미귄방석",1
"미나꺼",1
"미나보",1
"미나생일빼고는",1
"미나야사랑해",1
"미나연",1
"미나연글에",1
"미나일본공항마중나온",1
"미라클나잇은",1
"미래",1
"미래의",1
"미만",1
"미사모",1
"미안",1
"미안해",1
"미쳤나봐",1
"미쳤누",1
"미친넘아",1
"미친년들이",1
"미친놈들",1
"믹스",1
"민감하네",1
"민증인증하면",1
"민초충",1
"민초파",1
"민트모카",1
"민트초코",1
"밀리긴",1
"밀지마라",1
"밋앤그릴",1
"밋앤그릴이라",1
"밋앤그릿",1
"밋앤그릿은",1
"밋앳그릿",1
"바디로션",1
"바로뒤에",1
"바로앞에와서",1
"바삭한",1
"바우터하멜",1
"바인더",1
"박소담",1
"박안데",1
"박제되",1
"박제되야할텐데",1
"박지성",1
"반다이크",1
"반덮묘로",1
"받은넘도",1
"발견함",1
"발급",1
"발련아",1
"발작",1
"밝지효같은짓거리하네",1
"방가",1
"방금봤는데",1
"방문",1
"방법",1
"방송함",1
"방하",1
"배사",1
"배상",1
"배워야되노",1
"배터리",1
"배틀트립",1
"백날",1
"백수해",1
"백인남친",1
"백인형",1
"뱅기",1
"버거",1
"버거킹",1
"버닝썬",1
"버스에서졸다가",1
"버전",1
"번즈",1
"벌레채집",1
"벌칙받는거",1
"베이스",1
"병맛이더라",1
"병신좆동새끼",1
"병신짓하는것들이",1
"병크터트린다고",1
"보관통같은거",1
"보는거",1
"보는거랑",1
"보상심리",1
"보신탕",1
"보안폴더",1
"보이는넘들만",1
"보이봤는데",1
"보이진",1
"보조배터리",1
"보지",1
"보호자",1
"본건",1
"본부",1
"본부가하겠냐",1
"본부에",1
"본적이",1
"부대찌게",1
"부먹찍먹떡",1
"부먹충",1
"부먹충들은",1
"부먹충은",1
"부먹하면",1
"부어먹",1
"부어먹냐",1
"부잣집",1
"부탁",1
"분남았네",1
"분남았어",1
"분도안돼서",1
"분명개짠데",1
"분위기",1
"분정도바께",1
"분정적",1
"분탕",1
"분후",1
"분후에",1
"불매",1
"불법촬영한",1
"불안",1
"불타누",1
"불판때",1
"불판파줌",1
"불판한거",1
"불판할",1
"브리지듣고잇으면",1
"브앱",1
"브이앱",1
"브이중에서",1
"브이픽은",1
"블랙",1
"블로그",1
"블로그에",1
"블루레이",1
"블핑팬이랑",1
"비공개돌린",1
"비번까먹음",1
"비번찾았는데",1
"비빔밥",1
"비웃는거",1
"비질란테같은거",1
"비추",1
"비키니",1
"비키니입고",1
"비키니입음",1
"비행기내",1
"비행기안에써",1
"비호감",1
"비활동",1
"빈칸",1
"빠꾸",1
"빠르네그려",1
"빡대가리",1
"빡빡이",1
"빨리검색해",1
"빨리포카리",1
"빨아먹으려한다",1
"사고친",1
"사나딕",1
"사나모모",1
"사나시",1
"사낫찌",1
"사라지면",1
"사란헤",1
"사랑한지",1
"사랑함",1
"사망",1
"사면안",1
"사이",1
"사이트",1
"사죄",1
"사진왔네요",1
"사진왼쪽",1
"사진찍은거",1
"사진찍은거올린",1
"사칭",1
"삭제됨",1
"살빠지면",1
"삼브써서",1
"삼성역",1
"상대음감",1
"상식",1
"상식적",1
"상암월드컵",1
"상위권",1
"새끼",1
"새끼보",1
"새끼차단",1
"새로운념딸러",1
"새벽",1
"새벽갤",1
"생각하나",1
"생각하는흐구업지",1
"생긴사람",1
"생년월일",1
"생리하노",1
"생일광고하는거",1
"생일기념",1
"생일도끝났는데",1
"생일추카해",1
"생일축하",1
"생일축하안해줘",1
"생일축하해",1
"생일충뭔디",1
"샤샤샤",1
"샤샤샤시",1
"샤스토리",1
"샤인어라이트저건뭔데",1
"서버시간",1
"서울",1
"서울특별시",1
"서재페누나들",1
"서재페인싸들",1
"서트원본",1
"석방",1
"선셋은",1
"설금달린글에",1
"설렁탕",1
"설리달달",1
"설리받을",1
"설문",1
"설문조사",1
"설정함",1
"설치",1
"성공",1
"성과급",1
"성연",1
"세개",1
"세계지리퀴즈",1
"세상은넓고",1
"세우",1
"섹시댄스",1
"셀카올린거",1
"셀카찍은거는",1
"셋이",1
"소금",1
"소금안찍어먹는넘들은",1
"소름",1
"소름돋네",1
"소름돋음",1
"소수정예",1
"소스붓",1
"소식",1
"소원",1
"소집해제",1
"소트갤",1
"소풍가는거",1
"소형가는경우있음",1
"손잡고",1
"솔직히말해",1
"숏컷일때",1
"수북한",1
"수사",1
"수영",1
"수정",1
"순간",1
"순대국",1
"순대국밥보단",1
"순두부찌개먹을",1
"순식간",1
"술먹으면서",1
"숨이다막히네",1
"숫자",1
"쉬는거",1
"쉬는시간에",1
"쉬지마",1
"스밍도",1
"스밍찍합체",1
"스타워즈",1
"스탠",1
"스탠딩지정석",1
"스탬프",1
"스턱인마이헤드",1
"스토리",1
"스트레이트",1
"스파이",1
"스페인",1
"습성",1
"승리",1
"슼통피",1
"시간도안됬는데",1
"시간표",1
"시그널편보면서",1
"시나리오",1
"시되면",1
"시발년",1
"시발렴",1
"시발아",1
"시야",1
"시야엄청좋던데",1
"시작",1
"시작할떄",1
"시팔",1
"시험",1
"식감",1
"신고",1
"신규찍덕",1
"신기하네",1
"신박하넹",1
"신상다",1
"신조어",1
"실검떳농",1
"실검뜬거보고",1
"실검뭐노",1
"실검보고",1
"실검에",1
"실검이벤트",1
"실검인거",1
"실검좀올려주고와",1
"실망",1
"실명메모되있는넘",1
"실명메모되있는넘이",1
"실명안가",1
"실북",1
"실체보단",1
"심각",1
"십덕들이",1
"싱가폴콘",1
"싸가지존나없음",1
"싸움났다",1
"싹다묘갤념글갓네",1
"쌈싸먹을때",1
"쌈에넣는애들",1
"쌈장준다며",1
"쓰노",1
"쓰레기",1
"쓰레기짓",1
"씨발꺼",1
"씨발년들아",1
"씹거",1
"씹꿀임",1
"씹오바더라",1
"씹오졌을듯",1
"아갈빡좆창내기전에",1
"아갈빡좆창냄",1
"아까도말했지만",1
"아니진짜콘서트때반덮묘나오는거보고",1
"아닌거",1
"아닐시",1
"아닥하고잇네",1
"아무",1
"아무것",1
"아무숫자",1
"아빠",1
"아쉬운점",1
"아아아아",1
"아웃카운트",1
"아이돌",1
"아이즈원",1
"아이피기준",1
"아재",1
"아조시들",1
"아프사총공은좀",1
"아형",1
"악개",1
"안거르",1
"안나",1
"안나누고",1
"안남음",1
"안넣어낫네",1
"안녕하",1
"안뇽하세용",1
"안늦는걸",1
"안들렸냐",1
"안막는지",1
"안먹어서",1
"안보",1
"안보내는데",1
"안보는거",1
"안붙음",1
"안올라오나",1
"안올라오네",1
"안올려주냐",1
"안졸린데",1
"안좋은일",1
"안타고잇냐",1
"안팰이유가",1
"않는당",1
"알긴하냐",1
"알리송",1
"알바글",1
"알자너",1
"압도",1
"앙콘",1
"앙콘은",1
"앚판때문임",1
"앞으로",1
"앞자리",1
"애미가뒤졌나",1
"애미뒤진년을",1
"애정가지고하는앤",1
"애정있는거같은데",1
"앨범나올때",1
"앵콜사진올리",1
"야곱",1
"야구장",1
"야나사",1
"야동",1
"야붕이한테도",1
"야야",1
"양심",1
"얘기",1
"얘기할꺼냐",1
"어그로길에",1
"어그로꼬",1
"어그로끌리니까",1
"어디갓다줘야대냐",1
"어디갔누",1
"어디든좋으니까",1
"어딨어",1
"어떤식으로",1
"어떤지",1
"어본아티스트",1
"어서사",1
"어온거",1
"어울리지",1
"어짜피",1
"어찌되노",1
"어케생각함",1
"어케해",1
"어플",1
"억뷰",1
"억준다하면",1
"언급",1
"언니들",1
"언제까지할겨",1
"언제나갔눙",1
"언제떳었누",1
"언제바낌",1
"언제올라올까",1
"언제올라옴",1
"언제쯤",1
"언제쯤하",1
"얼굴기억나",1
"얼굴떡",1
"얼굴잘생겨질수있는법",1
"얼마에파는거냐고",1
"얼마전",1
"얼마정도",1
"엄마좀",1
"없또",1
"엉덩이",1
"엉망",1
"에반디",1
"에서",1
"에초에",1
"에휴",1
"엔딩",1
"엔터",1
"엠갤",1
"엠비시",1
"여덕들",1
"여덕있긴",1
"여러군데",1
"여름",1
"여완쓰였는데",1
"여자들이",1
"여중생",1
"역할",1
"역할때",1
"연관",1
"연봉",1
"연속",1
"연예인",1
"연옌으로",1
"연차",1
"연차쓰",1
"열개만넣어도",1
"열릴꺼같은데",1
"열받은애들",1
"열시미",1
"열음병크",1
"열음찍덕이었냐",1
"열음티켓",1
"였는데",1
"영구블랙",1
"영상같은거",1
"영상만",1
"영상인줄알았냐",1
"영상찍는다고",1
"영상찍었었네",1
"영화",1
"옆자리",1
"예능",1
"예능나온",1
"예상",1
"예수",1
"옛날",1
"옛날브이들",1
"오감자",1
"오늘둡생일아니었으면",1
"오늘안",1
"오늘트붕이들",1
"오래가면좋겠음",1
"오랜만",1
"오랫만",1
"오레오",1
"오른쪽코",1
"오반데",1
"오사카식당",1
"오자",1
"오적",1
"오적들",1
"오지",1
"오프땐",1
"오프뛰는트갤럼",1
"오픈마켓",1
"오후",1
"온판다시안함",1
"올공들어가서",1
"올라간거",1
"올라갔노",1
"올라왔누",1
"올려좀",1
"올리질",1
"올린거농",1
"올림",1
"올콘뛰고",1
"옷호",1
"옷호가",1
"와트갤화력",1
"완벽하네",1
"완전",1
"왓럽",1
"왓이브러브",1
"왓이즈럽",1
"왕따",1
"왜먹음",1
"왜싸우노",1
"왜찍어",1
"왠만하면",1
"왠만한",1
"왤캐많냐",1
"왤케",1
"왤케많냐",1
"외교관도잇음",1
"외국",1
"요구",1
"요약좀",1
"요즘비호감광고",1
"욕많이먹는대서",1
"용돈다꼬라박는다",1
"우리다현",1
"우리생일",1
"우리킴",1
"우리형",1
"우방국연합",1
"우승",1
"우장산역",1
"우치와랑캔디봉",1
"울고보채영",1
"울던영상",1
"울애들",1
"울와공연",1
"울와등장",1
"울와때문에",1
"울컥",1
"움짤",1
"웃기",1
"워마드함",1
"원래",1
"원본짤",1
"원스비긴즈",1
"원스토리좌",1
"원원원원",1
"원트가",1
"원트공구는",1
"원트는",1
"원트도",1
"원트랑트갤은",1
"월급",1
"웨이브",1
"위네",1
"위됐자너",1
"위안",1
"위입갤",1
"위입성",1
"위찍으면",1
"위험",1
"윗부분",1
"유동갤질한",1
"유로파",1
"유로파따리",1
"유명인사",1
"유사고",1
"유투브",1
"유튜버가",1
"유튜버도",1
"유튜브에뭐가떳다",1
"유튭커뮤니티는",1
"유행",1
"육갑떨",1
"육회",1
"으쌰으쌰으쌰으쌰",1
"윾동이",1
"윾실수한거",1
"윾이",1
"은근",1
"음성파일",1
"음악",1
"음악방송",1
"음악준심",1
"음악중심앵콜사진",1
"음원",1
"음중듣는데",1
